sensor,max_deviation_sum,start_index,end_index,dominant_rul_class
sensor_31,16526.52586546712,830,4076,Moderately High RUL
sensor_27,10840.478642622276,334,623,Extremely High RUL
sensor_30,10405.230391349112,882,2443,Moderately High RUL
sensor_32,5165.272588308819,4197,8180,Moderately Low RUL
sensor_29,4935.523646174681,5061,9999,Moderately Low RUL
sensor_17,4372.12616625666,7630,9999,Moderately Low RUL
sensor_37,4352.524074656464,8808,9999,Extremely Low RUL
sensor_25,4152.689111821187,5332,9998,Moderately Low RUL
sensor_36,4095.080264166409,3545,9999,Moderately Low RUL
sensor_24,3682.629798309794,8600,9999,Extremely Low RUL
sensor_33,3681.799682178422,241,5543,Moderately High RUL
sensor_28,3619.9785944894224,242,994,Extremely High RUL
sensor_35,2681.1193095409685,3450,9998,Moderately Low RUL
sensor_21,1938.037473327296,934,6526,Moderately High RUL
sensor_40,1776.4385146764757,7332,9113,Moderately Low RUL
sensor_34,1761.8507170216544,2026,6660,Moderately High RUL
sensor_48,1321.9174855325493,5586,7603,Moderately Low RUL
sensor_49,1271.9617996079426,19,6923,Moderately High RUL
sensor_22,1209.9935823082478,8599,9998,Extremely Low RUL
sensor_45,1190.3668208109389,2170,3141,Moderately High RUL
sensor_23,1067.3179792979868,267,3557,Moderately High RUL
sensor_46,1056.7493007758728,7268,9783,Moderately Low RUL
sensor_04,1042.733489448872,736,5915,Moderately High RUL
sensor_13,1024.1241415446718,5857,9975,Moderately Low RUL
sensor_16,927.4996522752425,2018,4015,Moderately High RUL
sensor_43,880.276658805663,7337,9300,Moderately Low RUL
sensor_26,878.9493110711281,273,2640,Moderately High RUL
sensor_05,859.8426874937431,102,4790,Moderately High RUL
sensor_19,687.9850739773972,8717,9999,Extremely Low RUL
sensor_51,630.0248606060684,4577,7869,Moderately Low RUL
sensor_20,419.383369656981,1797,5399,Moderately High RUL
sensor_44,411.0240193866872,172,3130,Moderately High RUL
sensor_14,354.0736648364777,8622,9995,Extremely Low RUL
sensor_47,325.67248768583283,4852,9897,Moderately Low RUL
sensor_10,313.190081906402,2786,9995,Moderately Low RUL
sensor_38,276.1319696669496,3110,9843,Moderately Low RUL
sensor_01,184.00498048484283,1,2039,Moderately High RUL
sensor_39,154.84655657430142,8222,9562,Moderately Low RUL
sensor_41,139.9432214349198,2868,9938,Moderately Low RUL
sensor_12,108.9272263430349,1870,2960,Moderately High RUL
sensor_42,100.36293375832733,7326,9894,Moderately Low RUL
sensor_11,97.06918848647521,1835,7863,Moderately High RUL
sensor_09,61.46957489649294,5832,5920,Moderately Low RUL
sensor_18,46.31404588628894,7904,9995,Moderately Low RUL
sensor_03,32.33858125479592,5217,9489,Moderately Low RUL
sensor_08,24.514905962596192,5767,8750,Moderately Low RUL
sensor_02,19.57380504361334,8990,9826,Extremely Low RUL
sensor_07,11.365207201663512,3884,9997,Moderately Low RUL
sensor_00,9.493931137414075,62,4831,Moderately High RUL
sensor_06,7.656197497749996,2689,4489,Moderately High RUL
